Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0,0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.001,0,-1.44394e-08,-1.44394e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-8.12285e-08,-8.12285e-05,0.0324947,1,0,0,-116.113,0,0,0
0.002,0,-3.19044e-08,-1.7465e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-1.63526e-07,-8.22977e-05,0.0329289,0.998392,-1.16441e-05,-0.000101392,-149.957,0,0,0
0.003,0,-5.91931e-08,-2.72887e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-2.86098e-07,-0.000122572,0.0490467,0.917609,-4.73692e-05,-0.000476358,-126.848,0,0,0
0.004,0,-9.91219e-08,-3.99287e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-5.4548e-07,-0.000259382,0.103786,0.928513,-0.000139871,-0.000985763,-115.591,0,0,0
0.005,0,-1.52372e-07,-5.32502e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-9.6615e-07,-0.00042067,0.168329,0.870551,-0.000318753,-0.00194113,-110.206,0,0,0
0.006,0,-2.19216e-07,-6.6844e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-1.48463e-06,-0.000518481,0.20749,0.707318,-0.000708903,-0.00320724,-105.733,0,0,0
0.007,0,-3.01159e-07,-8.19429e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-2.03012e-06,-0.000545492,0.218337,0.584743,-0.00125162,-0.00476944,-96.9915,0,0,0
0.008,0,-3.99857e-07,-9.86983e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-2.51167e-06,-0.000481545,0.1928,0.318493,-0.00174705,-0.00677461,-87.2773,0,0,0
0.009,0,-5.16161e-07,-0.000116304,0,0,-2.65884e-13,-2.65884e-10,0,0,-2.8571e-06,-0.000345436,0.138389,0.0584466,-0.0021683,-0.00905132,-79.7066,0,0,0
0.01,0,-6.50149e-07,-0.000133987,0,0,-2.65884e-13,-2.65884e-10,0,0,-3.08417e-06,-0.000227066,0.0910639,-0.25036,-0.00243848,-0.0111603,-74.1702,0,0,0
0.011,0,-8.01546e-07,-0.000151397,0,0,-2.65884e-13,-2.65884e-10,0,0,-3.2716e-06,-0.00018743,0.0752264,-0.668829,-0.00255647,-0.01312,-69.3469,0,0,0
0.012,0,-9.70353e-07,-0.000168808,0,0,-2.65884e-13,-2.65884e-10,0,0,-3.45829e-06,-0.00018669,0.0749453,-1,-0.00328063,-0.0148247,-63.4054,0,0,0
0.013,0,-1.15692e-06,-0.00018657,0,0,-2.65884e-13,-2.65884e-10,0,0,-3.75226e-06,-0.000293966,0.117875,-1,-0.00424038,-0.0165288,-56.0573,0,0,0
