Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.001,0,-1.42886e-08,-1.42886e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,7.56861e-08,7.56861e-05,-0.0302775,1,0,0,-117.194,0,0,0
0.002,0,-3.24426e-08,-1.8154e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,2.16899e-07,0.000141213,-0.0564968,0.999544,1.4302e-05,-0.000199911,-147.031,0,0,0
0.003,0,-5.96705e-08,-2.72279e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,3.55952e-07,0.000139053,-0.0556441,0.976299,0.000113476,-0.00052338,-129.179,0,0,0
0.004,0,-1.00257e-07,-4.05866e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,4.47144e-07,9.11918e-05,-0.0365089,0.968643,0.000319802,-0.000720595,-113.603,0,0,0
0.005,0,-1.55426e-07,-5.51689e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,5.6655e-07,0.000119406,-0.0478031,0.956636,0.000147093,-0.00132876,-106.382,0,0,0
0.006,0,-2.25318e-07,-6.98917e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,7.30078e-07,0.000163528,-0.0654632,0.928408,0.000202214,-0.00224498,-102.053,0,0,0
0.007,0,-3.10233e-07,-8.4915e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,9.14368e-07,0.000184289,-0.0737814,0.909868,0.000357069,-0.00340263,-97.0454,0,0,0
0.008,0,-4.10444e-07,-0.000100211,0,0,-1.29745e-12,-1.29745e-09,0,0,1.14435e-06,0.00022998,-0.0920743,0.881467,0.000532129,-0.00471707,-91.7708,0,0,0
0.009,0,-5.27413e-07,-0.000116969,0,0,-1.29745e-12,-1.29745e-09,0,0,1.31643e-06,0.000172087,-0.0689333,0.781145,0.000964998,-0.00604184,-82.3542,0,0,0
0.01,0,-6.62828e-07,-0.000135416,0,0,-1.29745e-12,-1.29745e-09,0,0,1.44228e-06,0.000125841,-0.0504468,0.602559,0.000889934,-0.00748764,-71.4098,0,0,0
0.011,0,-8.16505e-07,-0.000153676,0,0,-1.29745e-12,-1.29745e-09,0,0,1.55319e-06,0.000110917,-0.0444866,0.39817,0.00111979,-0.00843069,-66.1904,0,0,0
0.012,0,-9.88214e-07,-0.000171709,0,0,-1.29745e-12,-1.29745e-09,0,0,1.67203e-06,0.000118842,-0.0476657,0.260494,0.00800411,0.00407032,-60.8947,0,0,0
0.013,0,-1.17769e-06,-0.000189477,0,0,-1.29745e-12,-1.29745e-09,0,0,1.80984e-06,0.000137807,-0.0552622,0.186174,0.00054397,0.00997655,-55.5218,0,0,0
0.014,0,-1.38503e-06,-0.000207336,0,0,-1.29745e-12,-1.29745e-09,0,0,1.86917e-06,5.93282e-05,-0.0238785,-1,0.000299056,0.0113798,-48.857,0,0,0
0.015,0,-1.61119e-06,-0.000226164,0,0,-1.29745e-12,-1.29745e-09,0,0,1.91268e-06,4.35101e-05,-0.0175553,-1,-0.00191016,0.0125129,-39.2944,0,0,0
0.016,0,-1.85611e-06,-0.000244918,0,0,-1.29745e-12,-1.29745e-09,0,0,1.91111e-06,-1.56801e-06,0.000474253,-1,-0.00296158,-0.0137812,-31.9521,0,0,0
0.017,0,-2.12109e-06,-0.000264981,0,0,-1.29745e-12,-1.29745e-09,0,0,2.11408e-06,0.000202969,-0.0813486,-0.215881,-0.00266879,-0.0164984,-19.9534,0,0,0
0.018,0,-2.40791e-06,-0.000286821,0,0,-1.29745e-12,-1.29745e-09,0,0,2.61727e-06,0.000503188,-0.201464,0.42328,-0.000552622,-0.0206075,-5.78254,0,0,0
0.019,0,-2.71649e-06,-0.000308577,0,0,-1.29745e-12,-1.29745e-09,0,0,3.20263e-06,0.000585357,-0.234375,0.417856,0.00224488,-0.0252218,2.80394,0,0,0
0.02,0,-3.0482e-06,-0.00033171,0,0,-1.29745e-12,-1.29745e-09,0,0,3.82447e-06,0.000621849,-0.249021,0.365507,0.00286251,-0.0308293,16.6778,0,0,0
0.021,0,-3.40449e-06,-0.000356289,0,0,-1.29745e-12,-1.29745e-09,0,0,4.89053e-06,0.00106605,-0.426769,0.572723,0.00328445,-0.036784,31.1408,0,0,0
0.022,0,-3.78666e-06,-0.000382171,0,0,-1.29745e-12,-1.29745e-09,0,0,6.29375e-06,0.00140322,-0.561735,0.628411,0.0100753,-0.0426567,46.1964,0,0,0
0.023,0,-4.19494e-06,-0.000408282,0,0,-1.29745e-12,-1.29745e-09,0,0,7.44056e-06,0.00114682,-0.459276,0.482961,0.0196001,-0.0464059,57.9713,0,0,0
0.024,0,-4.62899e-06,-0.000434055,0,0,-1.29745e-12,-1.29745e-09,0,0,8.06489e-06,0.000624333,-0.250353,-0.0733536,0.0171573,-0.0535378,68.1383,0,0,0
0.025,0,-5.08906e-06,-0.000460068,0,0,-1.29745e-12,-1.29745e-09,0,0,8.16987e-06,0.00010498,-0.0426414,-1,-0.0022574,-0.0621175,80.4252,0,0,0
0.026,0,-5.57654e-06,-0.000487478,0,0,-1.29745e-12,-1.29745e-09,0,0,8.32935e-06,0.000159478,-0.0644513,-1,-0.0175359,-0.0689963,97.0421,0,0,0
0.027,0,-6.09242e-06,-0.000515882,0,0,-1.29745e-12,-1.29745e-09,0,0,8.84646e-06,0.000517106,-0.207529,-0.78688,-0.0138668,-0.0840958,114.08,0,0,0
0.028,0,-6.63589e-06,-0.000543467,0,0,-1.29745e-12,-1.29745e-09,0,0,9.82299e-06,0.000976533,-0.39136,-0.0486896,-0.00951906,-0.100327,125.129,0,0,0
0.029,0,-7.20603e-06,-0.000570141,0,0,-1.29745e-12,-1.29745e-09,0,0,1.09142e-05,0.00109123,-0.437321,-0.0358514,-0.00161829,-0.117825,136.343,0,0,0
0.03,0,-7.80253e-06,-0.000596501,0,0,-1.29745e-12,-1.29745e-09,0,0,1.20731e-05,0.00115884,-0.464454,-0.0736165,-0.00174114,-0.135099,149.914,0,0,0
0.031,0,-8.42512e-06,-0.000622585,0,0,-1.29745e-12,-1.29745e-09,0,0,1.29698e-05,0.000896743,-0.359699,-0.524062,-0.00394656,-0.151526,163.699,0,0,0
0.032,0,-9.07278e-06,-0.000647668,0,0,-1.29745e-12,-1.29745e-09,0,0,1.377e-05,0.000800246,-0.321168,-0.872284,-0.0228283,-0.166114,175.381,0,0,0
