Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0,0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.001,0,-1.40967e-08,-1.40967e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,-6.90146e-08,-6.90146e-05,0.0276086,1,0,0,-117.194,0,0,0
0.002,0,-3.21373e-08,-1.80406e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,-2.01401e-07,-0.000132386,0.0529654,0.998392,-1.23433e-05,-9.83458e-05,-147.006,0,0,0
0.003,0,-6.01941e-08,-2.80568e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,-2.42298e-07,-4.08968e-05,0.0163765,0.917609,-7.24968e-05,-0.000520958,-126.228,0,0,0
0.004,0,-1.01712e-07,-4.15175e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,-2.58302e-07,-1.60042e-05,0.0064217,0.928513,-4.15448e-05,-0.00141147,-112.792,0,0,0
0.005,0,-1.57635e-07,-5.5923e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,-3.46815e-07,-8.8513e-05,0.0354294,0.870551,-3.35264e-05,-0.00251459,-106.459,0,0,0
0.006,0,-2.28168e-07,-7.05335e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,-5.11056e-07,-0.000164241,0.0657306,0.707318,-0.000236736,-0.00362944,-102.127,0,0,0
0.007,0,-3.13631e-07,-8.54626e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,-7.03614e-07,-0.000192558,0.077072,0.584743,-0.00066099,-0.00471282,-97.1176,0,0,0
0.008,0,-4.14356e-07,-0.000100725,0,0,-1.07105e-12,-1.07105e-09,0,0,-9.31998e-07,-0.000228383,0.0914188,0.318493,-0.00124768,-0.00565482,-91.8444,0,0,0
0.009,0,-5.3188e-07,-0.000117524,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.19151e-06,-0.000259511,0.103889,0.0584466,-0.00224081,-0.00641771,-82.1728,0,0,0
0.01,0,-6.67611e-07,-0.000135732,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.41537e-06,-0.000223865,0.0896503,-0.25036,-0.00295433,-0.00737069,-72.3894,0,0,0
0.011,0,-8.21378e-07,-0.000153767,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.5904e-06,-0.000175029,0.070132,-0.668829,-0.00232747,-0.00918151,-67.2675,0,0,0
0.012,0,-9.9328e-07,-0.000171902,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.71311e-06,-0.00012271,0.049216,-1,-0.00191157,-0.0113134,-61.006,0,0,0
0.013,0,-1.18306e-06,-0.000189778,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.81009e-06,-9.69774e-05,0.0389319,-1,-0.0015955,-0.0139529,-55.6403,0,0,0
0.014,0,-1.39077e-06,-0.000207708,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.81577e-06,-5.6843e-06,0.00241875,-1,-0.00166075,-0.0170968,-48.9848,0,0,0
0.015,0,-1.61726e-06,-0.000226491,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.81518e-06,5.90943e-07,-9.11388e-05,-1,-0.00139792,-0.0204932,-39.4329,0,0,0
