Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.001,0,-1.45858e-08,-1.45858e-05,0,0,-2.93238e-12,-2.93238e-09,0,0,8.80583e-08,8.80583e-05,-0.0352268,1,0,0,-116.113,0,0,0
0.002,0,-3.2171e-08,-1.75852e-05,0,0,-2.93238e-12,-2.93238e-09,0,0,1.7981e-07,9.17521e-05,-0.0367115,0.999299,1.31331e-05,-0.000148319,-149.986,0,0,0
0.003,0,-5.97969e-08,-2.76259e-05,0,0,-2.93238e-12,-2.93238e-09,0,0,3.1392e-07,0.000134109,-0.0536635,0.975426,6.7007e-05,-0.000531766,-126.465,0,0,0
0.004,0,-1.0006e-07,-4.02626e-05,0,0,-2.93238e-12,-2.93238e-09,0,0,5.86131e-07,0.000272211,-0.10892,0.989495,0.000138726,-0.00117721,-115.591,0,0,0
0.005,0,-1.5367e-07,-5.36106e-05,0,0,-2.93238e-12,-2.93238e-09,0,0,1.01954e-06,0.000433414,-0.17343,0.988053,0.000531245,-0.00169883,-110.231,0,0,0
0.006,0,-2.21642e-07,-6.7972e-05,0,0,-2.93238e-12,-2.93238e-09,0,0,1.54545e-06,0.000525902,-0.210463,0.977739,0.00127099,-0.00206025,-103.395,0,0,0
0.007,0,-3.04542e-07,-8.29e-05,0,0,-2.93238e-12,-2.93238e-09,0,0,2.08463e-06,0.000539184,-0.215819,0.969194,0.0022875,-0.00204856,-97.6311,0,0,0
0.008,0,-4.04983e-07,-0.000100441,0,0,-2.93238e-12,-2.93238e-09,0,0,2.49866e-06,0.000414028,-0.165795,0.934158,0.00354602,-0.00108532,-85.0533,0,0,0
0.009,0,-5.23343e-07,-0.000118359,0,0,-2.93238e-12,-2.93238e-09,0,0,2.76518e-06,0.00026652,-0.106819,0.858689,0.00373591,-0.00215312,-78.9703,0,0,0
0.01,0,-6.59437e-07,-0.000136094,0,0,-2.93238e-12,-2.93238e-09,0,0,2.95752e-06,0.000192339,-0.0771647,0.739968,0.00279233,-0.0040439,-74.217,0,0,0
0.011,0,-8.12996e-07,-0.000153559,0,0,-2.93238e-12,-2.93238e-09,0,0,3.16089e-06,0.000203371,-0.0815932,0.671767,0.00203227,-0.00514992,-69.3863,0,0,0
0.012,0,-9.84028e-07,-0.000171032,0,0,-2.93238e-12,-2.93238e-09,0,0,3.39051e-06,0.000229617,-0.0921088,0.617257,0.00244595,-0.00565322,-63.4184,0,0,0
0.013,0,-1.17293e-06,-0.000188899,0,0,-2.93238e-12,-2.93238e-09,0,0,3.72764e-06,0.00033713,-0.135137,0.667335,0.00418135,-0.0052391,-56.0687,0,0,0
